City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,indi,17.1667,75.9667,23.95,86,100,3.61,IN,2024-08-08 22:51:42
213,shubarshi,48.5872,57.1869,20.27,65,2,1.97,KZ,2024-08-08 22:51:44
214,alice springs,-23.7,133.8833,8.75,76,0,1.54,AU,2024-08-08 22:51:45
215,rawson,-43.3002,-65.1023,9.51,45,63,4.65,AR,2024-08-08 22:51:46
216,chimbote,-9.0853,-78.5783,17.85,78,70,5.34,PE,2024-08-08 22:51:48
217,kiomboi,-4.2667,34.3667,17.94,50,11,3.9,TZ,2024-08-08 22:51:49
218,luderitz,-26.6481,15.1594,13.29,70,0,3.46,NA,2024-08-08 22:51:50
219,soe,-9.8607,124.284,17.69,78,10,2.19,ID,2024-08-08 22:51:52
220,lethem,3.3803,-59.7968,26.31,83,88,1.49,GY,2024-08-08 22:51:53
221,heinola,61.2056,26.0381,13.89,71,93,1.55,FI,2024-08-08 22:51:54
222,saurimo,-9.6608,20.3916,18.33,19,6,2.68,AO,2024-08-08 22:51:55
223,thompson,55.7435,-97.8558,18.09,52,75,5.14,CA,2024-08-08 22:51:57
224,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,100,4.0,RU,2024-08-08 22:51:58
225,port saint john's,-31.6229,29.5448,18.98,61,0,3.86,ZA,2024-08-08 22:52:01
226,olonkinbyen,70.9221,-8.7187,5.22,98,100,4.21,SJ,2024-08-08 22:52:05
227,birjand,32.8663,59.2211,27.26,12,0,6.17,IR,2024-08-08 22:52:06
228,ath thawrah,35.8469,38.5443,27.95,57,0,10.82,SY,2024-08-08 22:52:08
229,la barceloneta,41.3807,2.1899,27.85,67,0,1.54,ES,2024-08-08 22:52:09
230,crucecita,-28.95,-58.9833,8.23,62,4,5.26,AR,2024-08-08 22:52:10
231,kaa-khem,51.6833,94.7333,17.53,60,62,1.13,RU,2024-08-08 22:52:12
232,wad az zaki,14.4619,32.2065,28.34,63,84,3.4,SD,2024-08-08 22:52:13
233,codo,-4.4553,-43.8856,27.19,40,39,0.13,BR,2024-08-08 22:52:14
234,tashtyp,52.7939,89.8983,15.86,87,100,1.38,RU,2024-08-08 22:52:16
235,vorgashor,67.5833,63.95,5.45,87,1,1.83,RU,2024-08-08 22:52:17
236,puerto aysen,-45.4,-72.7,4.67,100,100,1.87,CL,2024-08-08 22:52:18
237,tarnogskiy gorodok,60.4997,43.5761,13.27,99,100,1.9,RU,2024-08-08 22:52:20
238,mezhdurechensk,53.6942,88.0603,15.84,99,100,1.38,RU,2024-08-08 22:52:21
239,barranca,-10.75,-77.7667,17.11,79,52,4.3,PE,2024-08-08 22:52:22
240,pacasmayo,-7.4006,-79.5714,17.96,78,22,7.09,PE,2024-08-08 22:52:23
241,la sarre,48.8002,-79.1996,22.09,51,90,3.56,CA,2024-08-08 22:52:25
242,filey,54.21,-0.2892,19.88,88,100,3.13,GB,2024-08-08 22:52:26
243,pitimbu,-7.4706,-34.8086,23.33,80,38,5.91,BR,2024-08-08 22:52:27
244,salmon arm,50.6998,-119.3024,35.8,35,6,2.06,CA,2024-08-08 22:52:29
245,glace bay,46.1969,-59.957,20.61,69,31,1.34,CA,2024-08-08 22:52:30
246,alofi,-19.0595,-169.9187,24.94,47,20,7.72,NU,2024-08-08 22:52:31
247,al jumum,21.6169,39.6981,31.78,60,95,1.3,SA,2024-08-08 22:52:32
248,jinghong,21.991,100.7341,20.62,99,35,0.63,CN,2024-08-08 22:52:34
249,zuunmod,47.7069,106.9528,14.57,96,100,1.83,MN,2024-08-08 22:52:35
250,salalah,17.0151,54.0924,24.05,100,100,3.09,OM,2024-08-08 22:52:36
251,wuhai,39.6647,106.8122,21.54,69,97,10.41,CN,2024-08-08 22:52:38
252,fayroz koh,34.5195,65.2509,13.84,25,0,1.51,AF,2024-08-08 22:52:39
253,byron bay,-28.65,153.6167,14.84,72,74,4.42,AU,2024-08-08 22:52:40
254,al kharijah,25.4514,30.5464,34.22,22,10,3.1,EG,2024-08-08 22:52:41
255,callao,-12.0667,-77.15,17.07,77,100,3.09,PE,2024-08-08 22:52:43
256,buckie,57.6757,-2.9624,15.02,95,97,3.12,GB,2024-08-08 22:52:44
257,greenville,35.6127,-77.3663,28.4,93,75,6.69,US,2024-08-08 22:52:45
258,ketchikan,55.3422,-131.6461,22.97,53,0,6.17,US,2024-08-08 22:52:47
259,roanoke,37.271,-79.9414,22.57,93,100,9.26,US,2024-08-08 22:52:48
260,abadeh,31.1608,52.6506,26.21,15,31,1.44,IR,2024-08-08 22:52:49
261,sittwe,20.15,92.9,25.96,87,75,1.93,MM,2024-08-08 22:52:51
262,honggang,46.4667,124.8667,23.54,58,78,1.78,CN,2024-08-08 22:52:52
